total_return_pct,buy_hold_return_pct,alpha_pct,ann_return_pct,ann_volatility_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,total_trades,win_rate_pct,avg_win_pct,avg_loss_pct,profit_factor,expectancy_pct,total_costs_usd,total_fees_usd,total_slippage_usd,final_equity,symbol,timeframe,strategy,strategy_key,split_date,leverage
-80.13480912138536,-34.698370993168446,-45.436438128216906,-93.60835922128649,135.45056696008237,-0.6910887220492263,-0.902329498411032,-1.0682766689804208,-87.62557672501423,37,27.027027027027028,16.63417663444691,-8.740091982422982,0.7048903116003965,-1.8821815454311188,29.700000000000003,4.4,5.5,99.32595439307322,BTC/USDT,4h,Mean-Reversion (RSI + BB),mean_reversion,2025-09-11,3
18.157927777780646,-34.698370993168446,52.856298770949095,32.832733443651406,83.09743586831159,0.395111270288568,0.3861202280833972,0.5763079269705369,-56.970817000977924,62,51.61290322580645,6.410024303800688,-5.613580282191712,1.2180032908904777,0.592151117030172,140.40000000000003,20.800000000000004,26.0,590.7896388889033,BTC/USDT,4h,Volatility Breakout (ATR + Vol),volatility_breakout,2025-09-11,3
-29.021026991714116,-34.698370993168446,5.6773440014543315,-44.194423720054,50.02374996595411,-0.8834688273096775,-0.4684183572107432,-0.8982033778348678,-49.20313685146152,15,46.666666666666664,6.405812186219742,-8.967895336090725,0.6250168465264043,-1.7934984923458412,41.85000000000001,6.200000000000001,7.75,354.8948650414294,BTC/USDT,4h,Trend-Following (EMA + ADX),trend_following,2025-09-11,3
-22.777037799803757,-34.698370993168446,11.921333193364692,-35.58517783186102,52.64149229738925,-0.6759910534228123,-0.2982891395096828,-0.7069525966634582,-50.33601686988525,12,41.66666666666667,12.696996924474075,-8.00838883822258,1.1324729231671975,0.6188552295676918,13.500000000000002,2.0,2.5,386.1148110009812,BTC/USDT,4h,Momentum Reversal (ROC + S/R),momentum_reversal,2025-09-11,3
-65.1106157641604,-34.698370993168446,-30.412244770991947,-83.33395961773586,73.59232489187302,-1.1323729715045139,-0.7753255646656383,-1.2080537503616562,-68.98199653184976,43,46.51162790697674,5.256109662614773,-7.361723917366381,0.6208505226095512,-1.4929641127239839,82.35000000000001,12.2,15.25,174.446921179198,BTC/USDT,4h,Composite Signal,composite,2025-09-11,3
21.36377171262531,-34.698370993168446,56.06214270579376,39.02362824691208,14.259120607829606,2.7367485920193713,1.4813245167366156,10.41881035510439,-3.745497510451719,2,100.0,9.972437511558237,0.0,inf,9.972437511558237,5.4,0.8,1.0,606.8188585631266,BTC/USDT,4h,Momentum Reversal + MTF Filter,momentum_reversal_mtf,2025-09-11,3
33.58777770972638,-34.698370993168446,68.28614870289483,63.68491102687113,81.8173708691854,0.7783788497517776,0.7597907316480499,1.2664301458146252,-50.28695126797231,60,51.66666666666667,6.587116748425044,-5.374053893296693,1.3102586616953356,0.8058842715928712,143.10000000000002,21.200000000000003,26.5,667.9388885486319,BTC/USDT,4h,Volatility Breakout + MTF Filter,volatility_breakout_mtf,2025-09-11,3
-19.053503533730765,-34.698370993168446,15.644867459437684,-30.211011737034998,43.42695147387378,-0.6956742463308837,-0.3450234628760898,-0.9276869691358705,-32.565954618481065,29,51.724137931034484,3.839030669618478,-5.226127022936176,0.7870545679367867,-0.5372523543734237,71.55000000000001,10.600000000000001,13.25,404.7324823313462,BTC/USDT,4h,Composite Signal + MTF Filter,composite_mtf,2025-09-11,3
-50.59768468053375,-46.67423603745699,-3.9234486430767546,-69.87890869158002,188.51800707790744,-0.3706749809990389,-0.5142080054152307,-0.8636865253638847,-80.90772130795828,49,26.53061224489796,28.0069506882353,-8.468276685064067,1.1942950682871116,1.2088244547908675,32.400000000000006,4.8,6.0,247.01157659733124,ETH/USDT,4h,Mean-Reversion (RSI + BB),mean_reversion,2025-09-11,3
-26.854037501982674,-46.67423603745699,19.82019853547432,-41.26431886433581,120.33873615605695,-0.3429013814041031,-0.3661971937182531,-0.5438383852598115,-75.87606903588157,79,40.50632911392405,10.5682347875962,-6.760575425314768,1.0643167844847807,0.25868947105423284,153.90000000000003,22.8,28.5,365.7298124900866,ETH/USDT,4h,Volatility Breakout (ATR + Vol),volatility_breakout,2025-09-11,3
