symbol,strategy,strategy_key,param_roc_threshold,param_roc_exit,param_support_buffer,stop_loss,n_folds,positive_folds,avg_test_sharpe,std_test_sharpe,avg_test_return,avg_test_dd,avg_test_win_rate,total_test_trades,best_fold_sharpe,param_atr_multiplier,param_volume_threshold,param_holding_periods,param_w_mr,param_w_vb,param_threshold
BTC/USDT,Momentum Reversal,momentum_reversal,-8.0,5.0,0.08,0.03,5,1,-0.07285379911041077,1.2771373967268265,-1.4102107360824512,-9.738526749153385,35.55555555555556,16,2.031860176023735,,,,,,
BTC/USDT,Volatility Breakout,volatility_breakout,,,,0.07,5,0,-1.6448749934671754,0.7310483034083369,-14.00038468279259,-19.463300793447875,34.30601503759398,102,-0.6940170680247463,1.5,1.5,6.0,,,
BTC/USDT,Composite Signal,composite,,,,0.05,5,1,-0.8704399554123544,1.323039549588912,-12.972157583972944,-22.38939945708699,40.08701298701298,87,1.6557558158533285,,,,0.5,0.3,0.25
BTC/USDT,Momentum Reversal + MTF,momentum_reversal_mtf,-5.0,2.0,0.02,0.03,5,3,0.7385929651354977,0.7562987910807007,2.84078289903817,-3.482603176274998,42.0,22,2.057080389267838,,,,,,
ETH/USDT,Momentum Reversal,momentum_reversal,-10.0,5.0,0.08,0.03,5,2,1.1787934443968209,3.777888947046297,2.2279155525046894,-19.182162847594945,34.142857142857146,45,8.403876347349353,,,,,,
ETH/USDT,Volatility Breakout,volatility_breakout,,,,0.07,5,4,0.6771669734028044,1.155020566359095,0.3288432931501271,-17.269498024563642,54.69047619047619,64,2.660751648502342,2.5,2.5,3.0,,,
ETH/USDT,Composite Signal,composite,,,,0.07,5,2,-0.04557226576002864,1.1845826394161703,-3.2057941363116966,-20.699110270339617,46.35164835164835,106,1.2787939193520286,,,,0.3,0.3,0.45
ETH/USDT,Momentum Reversal + MTF,momentum_reversal_mtf,-10.0,5.0,0.08,0.03,5,3,1.8755083945378117,3.874866835579032,8.251276921811842,-8.533053819547671,50.99999999999999,31,7.93763806272498,,,,,,
BNB/USDT,Momentum Reversal,momentum_reversal,-8.0,2.0,0.05,0.07,5,3,1.9242843771757705,2.6994312800296756,5.2170598195223565,-6.703123928419951,82.5,18,6.702023613658408,,,,,,
BNB/USDT,Volatility Breakout,volatility_breakout,,,,0.07,5,1,-1.2621874369571144,0.8256611357639086,-15.226320613558988,-23.85400090840277,36.67023172905526,93,0.0038967887400306925,2.0,2.0,9.0,,,
BNB/USDT,Composite Signal,composite,,,,0.07,5,1,-0.9787478875210709,0.8906793119676686,-13.815960780419314,-25.619319696392147,43.132183908045974,104,0.45647979255698173,,,,0.5,0.3,0.25
BNB/USDT,Momentum Reversal + MTF,momentum_reversal_mtf,-8.0,1.0,0.05,0.07,5,4,1.6495810314234327,1.4318278019228126,5.834445997143378,-3.4289386134620643,69.33333333333333,12,4.000061359133016,,,,,,
SOL/USDT,Momentum Reversal,momentum_reversal,-15.0,2.0,0.02,0.03,5,3,3.173990354337844,4.820563487572756,16.92092652766752,-11.02547992219777,56.0,23,12.536891997611498,,,,,,
SOL/USDT,Volatility Breakout,volatility_breakout,,,,0.07,5,2,-0.058591392865313674,1.5616428744005502,-4.301560243355162,-18.86911455547935,50.10458839406208,78,2.557074128900145,1.5,2.0,3.0,,,
SOL/USDT,Composite Signal,composite,,,,0.07,5,3,0.42926419736697746,2.4680366543351946,-3.0798517418664586,-24.314002414126033,49.843496070705044,114,4.974549490448146,,,,0.3,0.3,0.45
SOL/USDT,Momentum Reversal + MTF,momentum_reversal_mtf,-15.0,1.0,0.02,0.03,5,4,1.0829965607037373,2.140012860668635,4.483141247509041,-9.039737157250222,59.42857142857142,43,5.186607174112164,,,,,,
XRP/USDT,Momentum Reversal,momentum_reversal,-10.0,5.0,0.02,0.03,5,4,3.362102221884213,3.483058576676382,19.718935755769564,-13.424910736680573,57.57142857142857,41,9.084691016996072,,,,,,
XRP/USDT,Volatility Breakout,volatility_breakout,,,,0.03,5,1,-0.9272672503120247,0.6541541450911169,-17.96062045381882,-34.28098841450657,35.57704625997309,146,0.08982129024063824,1.0,1.2,12.0,,,
XRP/USDT,Composite Signal,composite,,,,0.07,5,1,-0.5542118246170029,0.7970613796272606,-13.650647657765296,-26.803930812686623,40.68394648829431,126,1.0112112062923404,,,,0.4,0.3,0.45
XRP/USDT,Momentum Reversal + MTF,momentum_reversal_mtf,-10.0,1.0,0.02,0.03,5,2,0.6402260825613599,2.2243347521987076,5.585034038750711,-7.272308859394623,32.49299719887955,28,4.167373749627099,,,,,,
