total_return_pct,buy_hold_return_pct,alpha_pct,ann_return_pct,ann_volatility_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,total_trades,win_rate_pct,avg_win_pct,avg_loss_pct,profit_factor,expectancy_pct,total_costs_usd,total_fees_usd,total_slippage_usd,final_equity,symbol,timeframe,strategy,strategy_key,split_date
-38.32657135384845,-34.698370993168446,-3.6282003606800006,-56.06362109051031,41.27240576472019,-1.3583802555661466,-1.3562583844682738,-1.1224410916714895,-49.94794070397302,22,27.27272727272727,7.120912713817897,-4.785927475049697,0.5579571110517054,-1.5386074235403528,8.25,5.5,2.75,308.36714323075773,BTC/USDT,4h,Mean-Reversion Long-Only,mean_reversion,2025-09-11
-11.928851542152351,-34.698370993168446,22.769519451016095,-19.438562610532895,15.515795140919932,-1.2528241339863668,-0.659024875269611,-1.106827977548075,-17.562406268040494,28,50.0,1.156163549130538,-2.0127859284439635,0.5744095945783664,-0.4283111896567127,36.0,24.0,12.0,440.35574228923826,BTC/USDT,4h,Volatility Breakout Long-Only,volatility_breakout,2025-09-11
-7.069799130618737,-34.698370993168446,27.628571862549713,-11.729674001012603,12.55755607367299,-0.9340729941556025,-0.33579635295579213,-0.6718878213164093,-17.45778629836006,9,33.33333333333333,3.081505487074317,-2.6525556643366754,0.5808559512067599,-0.7412019471996779,12.75,8.5,4.25,464.6510043469063,BTC/USDT,4h,Trend-Following Long-Only,trend_following,2025-09-11
-24.610126736425986,-34.698370993168446,10.088244256742463,-38.16534615294026,19.579242097757867,-1.9492759710709537,-0.6472222101624124,-1.2178380012533694,-31.338606706032667,9,22.22222222222222,6.231674574498436,-4.753256690909576,0.37458074866055385,-2.31216085415224,3.0,2.0,1.0,376.94936631787004,BTC/USDT,4h,Momentum Reversal Long-Only,momentum_reversal,2025-09-11
-38.88067179557042,-34.698370993168446,-4.182300802401972,-56.7332096055722,24.874604367059526,-2.2807683197044852,-1.1335731225042858,-1.29483482415842,-43.81501682459463,30,43.333333333333336,1.6968551843441635,-3.714916610658882,0.34929320815600307,-1.3698154994908953,29.25,19.5,9.75,305.5966410221479,BTC/USDT,4h,Composite Long-Only,composite,2025-09-11
0.0,-34.698370993168446,34.698370993168446,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,BTC/USDT,4h,Momentum Reversal + MTF Long-Only,momentum_reversal_mtf,2025-09-11
-7.755852678399789,-34.698370993168446,26.94251831476866,-12.835672087745042,14.841126226945148,-0.8648718359689538,-0.4588215027288287,-0.9399059102866825,-13.65633724319279,26,50.0,1.244584789865794,-1.8157250049170341,0.6854478439716497,-0.28557010752561995,36.0,24.0,12.0,461.22073660800106,BTC/USDT,4h,Volatility Breakout + MTF Long-Only,volatility_breakout_mtf,2025-09-11
-9.798019226478827,-34.698370993168446,24.90035176668962,-16.09376142716338,11.943678904864239,-1.3474710393134361,-0.4552076776481861,-1.0365202771314312,-15.526721263671602,18,50.0,1.0491306518375552,-2.1480811834847966,0.4884036319966119,-0.5494752658236207,24.75,16.5,8.25,451.0099038676059,BTC/USDT,4h,Composite + MTF Long-Only,composite_mtf,2025-09-11
-27.471989922331595,-46.67423603745699,19.202246115125398,-42.106183196736694,53.65130457859273,-0.7848119170160379,-0.786191867732813,-1.0384233453221683,-40.54818623484755,24,25.0,12.19581048795681,-5.0286756119326785,0.8084176583205493,-0.7225540869603067,9.0,6.0,3.0,362.640050388342,ETH/USDT,4h,Mean-Reversion Long-Only,mean_reversion,2025-09-11
-23.359754632166485,-46.67423603745699,23.31448140529051,-36.41009515011441,23.061804960178193,-1.5788050940932543,-0.9099449354318592,-1.303904491040114,-27.923897340878373,32,40.625,2.1632872317983773,-2.7128315717795792,0.5456084744951716,-0.7319083078260348,40.5,27.0,13.5,383.2012268391676,ETH/USDT,4h,Volatility Breakout Long-Only,volatility_breakout,2025-09-11
-26.757210157805766,-46.67423603745699,19.917025879651227,-41.131952741223046,15.056416001687959,-2.73185549181238,-0.9099648101698783,-1.4734186575754753,-27.915998300785787,15,13.333333333333334,0.5615609732013751,-2.4000785679635253,0.03599631988316125,-2.0051932958082053,20.25,13.5,6.75,366.2139492109712,ETH/USDT,4h,Trend-Following Long-Only,trend_following,2025-09-11
-3.2300283759742587,-46.67423603745699,43.444207661482736,-5.433835207509152,31.44713240193387,-0.17279270930200916,-0.10658321936255606,-0.16668712212459819,-32.599010278954694,22,50.0,5.408049968878868,-4.584131860420106,1.1797326371810026,0.41195905422938084,16.5,11.0,5.5,483.8498581201287,ETH/USDT,4h,Momentum Reversal Long-Only,momentum_reversal,2025-09-11
-22.145359157688926,-46.67423603745699,24.52887687976807,-34.68600205969224,32.04960417059674,-1.0822599204365282,-0.7148069556845789,-0.9037301595844244,-38.380927859752326,36,47.22222222222222,3.262951259185602,-3.560343146541014,0.820000372274085,-0.33823189939233395,39.0,26.0,13.0,389.27320421155537,ETH/USDT,4h,Composite Long-Only,composite,2025-09-11
-7.052111202964239,-46.67423603745699,39.62212483449276,-11.701082999180123,13.074426457275463,-0.8949595638031892,-0.2804254620741633,-1.1723639023772072,-9.980760219121203,7,57.14285714285714,1.672138564047103,-4.123740681239624,0.5406542888448381,-0.8118096839329227,9.0,6.0,3.0,464.7394439851788,ETH/USDT,4h,Momentum Reversal + MTF Long-Only,momentum_reversal_mtf,2025-09-11
-29.675695654418256,-46.67423603745699,16.99854038303874,-45.0674477051714,22.13793986022606,-2.0357561719707014,-1.1338004030851898,-1.4322088127740278,-31.46709285909281,32,31.25,2.453967233184563,-2.576441590277181,0.43293807073170504,-1.004438832945386,43.5,29.0,14.5,351.6215217279087,ETH/USDT,4h,Volatility Breakout + MTF Long-Only,volatility_breakout_mtf,2025-09-11
-9.69222491813837,-46.67423603745699,36.98201111931863,-15.926234475551793,13.82815917040803,-1.151724844882723,-0.46465730175208836,-1.218221428040591,-13.073349482259422,20,40.0,1.2695958404817644,-1.6490095906425317,0.5132761093633464,-0.48156741819281296,30.0,20.0,10.0,451.53887540930816,ETH/USDT,4h,Composite + MTF Long-Only,composite_mtf,2025-09-11
-29.761503301659033,-31.088871724261345,1.3273684226023152,-45.18145428859359,41.55507062592146,-1.0872669353715416,-1.1385685273832087,-1.0642995181902468,-42.451822552189924,19,21.052631578947366,9.326017369687154,-4.292412783805984,0.5793799642551611,-1.4253748567547975,6.0,4.0,2.0,351.1924834917048,BNB/USDT,4h,Mean-Reversion Long-Only,mean_reversion,2025-09-11
-2.691174091315285,-31.088871724261345,28.397697632946063,-4.5360361136513205,21.24605265181278,-0.213500182268648,-0.13614724737093395,-0.1927675560097212,-23.531118034315742,27,44.44444444444444,2.211652069909657,-1.8423011509904508,0.9603867722584387,-0.04054416392373618,37.5,25.0,12.5,486.5441295434236,BNB/USDT,4h,Volatility Breakout Long-Only,volatility_breakout,2025-09-11
-10.680624825964669,-31.088871724261345,20.408246898296678,-17.48600626909348,10.175466822130923,-1.7184475734383653,-0.45974619653443644,-1.2783363868689295,-13.67872060023459,8,12.5,0.08516353117176165,-1.5820398674199705,0.007690209955747866,-1.3736394425960041,12.0,8.0,4.0,446.59687587017663,BNB/USDT,4h,Trend-Following Long-Only,trend_following,2025-09-11
-0.10038638967716507,-31.088871724261345,30.988485334584183,-0.17076049893240963,16.073567553557456,-0.010623683781676479,-0.003248132555175232,-0.016088354923647866,-10.613919182091955,8,62.5,3.2975335902588188,-5.274837157893197,1.0419069162872745,0.08289455970181304,7.5,5.0,2.5,499.49806805161415,BNB/USDT,4h,Momentum Reversal Long-Only,momentum_reversal,2025-09-11
-9.234019531369764,-31.088871724261345,21.854852192891585,-15.199069298380364,16.111022902779716,-0.9433956732665306,-0.4118578327853207,-1.0075202948222601,-15.085620981026175,19,47.368421052631575,1.80243191668398,-2.51443978092806,0.645149164963038,-0.4696058189013043,24.0,16.0,8.0,453.82990234315116,BNB/USDT,4h,Composite Long-Only,composite,2025-09-11
1.1224830235656125,-31.088871724261345,32.21135474782696,1.9175658289460884,10.267129472167788,0.18676747324013399,0.03642239841905034,0.3236759496288878,-5.924338311649916,3,66.66666666666666,3.088525895475955,-4.749351351249495,1.3006095641517035,0.47590014656747154,3.0,2.0,1.0,505.61241511782805,BNB/USDT,4h,Momentum Reversal + MTF Long-Only,momentum_reversal_mtf,2025-09-11
-2.6013905387339276,-31.088871724261345,28.487481185527418,-4.386105567239329,21.239959013920828,-0.20650254383092936,-0.13030836993910494,-0.18695653664857276,-23.460562791040626,27,44.44444444444444,2.211652069909657,-1.8572917478050892,0.952635286307967,-0.048872273265201924,37.5,25.0,12.5,486.99304730633037,BNB/USDT,4h,Volatility Breakout + MTF Long-Only,volatility_breakout_mtf,2025-09-11
-6.65026538797584,-31.088871724261345,24.438606336285506,-11.050505892004004,9.8552749508471,-1.1212782948337903,-0.39186421973385777,-0.9828573273701001,-11.243245163133302,12,50.0,0.9852118483022726,-2.0845092966904266,0.4726349025482844,-0.5496487241940768,16.5,11.0,5.5,466.7486730601208,BNB/USDT,4h,Composite + MTF Long-Only,composite_mtf,2025-09-11
-30.82943408324459,-62.00070540516715,31.171271321922568,-46.59215452792744,59.610197529890385,-0.781613825462744,-0.8874780474438131,-0.924473975774247,-50.39855717832026,27,25.925925925925924,11.533758878896872,-4.72766356498634,0.8538711674644239,-0.511739227683285,8.25,5.5,2.75,345.85282958377707,SOL/USDT,4h,Mean-Reversion Long-Only,mean_reversion,2025-09-11
-40.13853926022601,-62.00070540516715,21.862166144941142,-58.23747021389495,23.189723891942933,-2.511348150813001,-1.3587101612068404,-1.2745825210843542,-45.691408167396865,32,37.5,1.5188044251845425,-3.3515148801318615,0.27190171838797633,-1.5251451406382102,36.0,24.0,12.0,299.30730369886993,SOL/USDT,4h,Volatility Breakout Long-Only,volatility_breakout,2025-09-11
-19.51399722164059,-62.00070540516715,42.48670818352657,-30.885244724003723,17.228397077403823,-1.7926940379445837,-0.6604363000550033,-1.5142592709256808,-20.396272499043896,12,16.666666666666664,2.1723076297662653,-2.2026679610806283,0.19724331294132336,-1.4735053626061463,15.0,10.0,5.0,402.43001389179705,SOL/USDT,4h,Trend-Following Long-Only,trend_following,2025-09-11
11.425714348084949,-62.00070540516715,73.4264197532521,20.21312642073805,33.73184359117902,0.5992298157703969,0.3635167736161671,0.8883328347121354,-22.754001237934787,26,50.0,6.2929613887851215,-4.477583632341138,1.4054369288228794,0.9076888782219921,19.5,13.0,6.5,557.1285717404247,SOL/USDT,4h,Momentum Reversal Long-Only,momentum_reversal,2025-09-11
-21.929035217488412,-62.00070540516715,40.07167018767874,-34.376890727532604,37.953064024055855,-0.9057737922225052,-0.6565072798856931,-0.8923943378332119,-38.522085215154775,46,41.30434782608695,4.843027637577701,-3.671874396983013,0.9281517059796618,-0.15484964357750092,42.75,28.5,14.25,390.35482391255795,SOL/USDT,4h,Composite Long-Only,composite,2025-09-11
-12.994828585435059,-62.00070540516715,49.005876819732094,-21.09074021494631,13.731601979497867,-1.535927144293586,-0.4530350976563375,-1.112572556990556,-18.956732378871124,8,37.5,2.9695670149020374,-4.45454410816625,0.3999826167788674,-1.6705024370156418,6.0,4.0,2.0,435.0258570728247,SOL/USDT,4h,Momentum Reversal + MTF Long-Only,momentum_reversal_mtf,2025-09-11
-40.35788089308671,-62.00070540516715,21.64282451208045,-58.49752646894682,22.84455281245533,-2.56067724105559,-1.3511242091790108,-1.2747224332281968,-45.89040323139491,30,36.666666666666664,1.6599320959078259,-3.326180990536086,0.28892394052453235,-1.4979395255066512,39.0,26.0,13.0,298.2105955345665,SOL/USDT,4h,Volatility Breakout + MTF Long-Only,volatility_breakout_mtf,2025-09-11
-34.17356819891593,-62.00070540516715,27.82713720625123,-50.910996306071674,19.736760233943055,-2.579501179657415,-1.1499834346047366,-1.4522815543753527,-35.05587201923062,28,28.57142857142857,2.4089679700506434,-2.9562234699225587,0.3259520796800587,-1.4233116299302155,33.75,22.5,11.25,329.13215900542036,SOL/USDT,4h,Composite + MTF Long-Only,composite_mtf,2025-09-11
15.30846428543613,-54.05856622925651,69.36703051469264,27.428026974429986,54.20772772146785,0.5059800166382492,0.6190555022173122,0.6964862421630373,-39.38057252825029,24,33.33333333333333,13.126239076305565,-4.349702935900614,1.5088661535902976,1.4756110681681125,11.25,7.5,3.75,576.5423214271807,XRP/USDT,4h,Mean-Reversion Long-Only,mean_reversion,2025-09-11
